GENE_ENTREZ_ID	GENE_SYMBOL	DISEASE_IDS
2	A2M	OMIM:104300
144568	A2ML1	OMIM:166760,ORPHA:648
8086	AAAS	ORPHA:869,OMIM:231550
79719	AAGAB	OMIM:148600,ORPHA:79501
16	AARS1	OMIM:616339,OMIM:613287
57505	AARS2	OMIM:615889,OMIM:614096
10157	AASS	OMIM:268700,OMIM:238700
18	ABAT	OMIM:613163
19	ABCA1	ORPHA:425,OMIM:604091,ORPHA:31150,OMIM:205400
26154	ABCA12	ORPHA:79394,ORPHA:313,ORPHA:457,OMIM:242500,OMIM:601277
21	ABCA3	ORPHA:2032,OMIM:610921
24	ABCA4	OMIM:153800,OMIM:604116,ORPHA:791,ORPHA:1872,OMIM:248200,ORPHA:827,OMIM:601718
23461	ABCA5	ORPHA:2026,OMIM:135400
10347	ABCA7	OMIM:608907,ORPHA:1020
5243	ABCB1	OMIM:612244
8647	ABCB11	OMIM:601847,OMIM:605479
5244	ABCB4	OMIM:600803,OMIM:602347,OMIM:614972
10058	ABCB6	ORPHA:241,OMIM:609153,OMIM:614497,ORPHA:90044,OMIM:615402
22	ABCB7	ORPHA:2802,OMIM:301310
1244	ABCC2	ORPHA:234,OMIM:237500
368	ABCC6	OMIM:264800,OMIM:177850,OMIM:614473,ORPHA:758
6833	ABCC8	OMIM:610374,ORPHA:79134,ORPHA:99885,ORPHA:276575,ORPHA:552,OMIM:256450,OMIM:125853,OMIM:240800,OMIM:606176,ORPHA:99886
10060	ABCC9	OMIM:239850,ORPHA:966,ORPHA:965,ORPHA:154,ORPHA:130,OMIM:614050,ORPHA:1517,OMIM:608569
215	ABCD1	OMIM:300100
5825	ABCD3	OMIM:616278
5826	ABCD4	OMIM:614857
64240	ABCG5	OMIM:210250,ORPHA:391665
64241	ABCG8	OMIM:611465,OMIM:210250,ORPHA:391665
26090	ABHD12	OMIM:612674
51099	ABHD5	OMIM:275630,ORPHA:98907
25	ABL1	OMIM:608232,ORPHA:521,OMIM:617602
31	ACACA	OMIM:613933
27034	ACAD8	OMIM:611283,ORPHA:79159
28976	ACAD9	OMIM:611126,ORPHA:99901
34	ACADM	ORPHA:42,OMIM:201450
35	ACADS	OMIM:201470
36	ACADSB	OMIM:610006
37	ACADVL	OMIM:201475,ORPHA:26793
176	ACAN	OMIM:612813,OMIM:165800,ORPHA:435804,ORPHA:171866,ORPHA:93283,OMIM:608361
38	ACAT1	OMIM:203750,ORPHA:134
39	ACAT2	OMIM:614055
65057	ACD	OMIM:616553,ORPHA:3322,ORPHA:618
1636	ACE	OMIM:267430
55331	ACER3	OMIM:617762
50	ACO2	OMIM:616289,OMIM:614559
51	ACOX1	OMIM:264470,ORPHA:2971
8309	ACOX2	OMIM:617308
53	ACP2	OMIM:200950
93650	ACP4	OMIM:617297
54	ACP5	ORPHA:1855,OMIM:607944
197322	ACSF3	ORPHA:289504,OMIM:614265
2182	ACSL4	ORPHA:777,ORPHA:86818,OMIM:300387
58	ACTA1	ORPHA:97244,ORPHA:2020,OMIM:255310,ORPHA:171430,ORPHA:171433,OMIM:616852,ORPHA:171439,ORPHA:171436,ORPHA:97240,OMIM:161800
59	ACTA2	OMIM:613834,ORPHA:2573,OMIM:614042,ORPHA:91387,OMIM:611788
60	ACTB	OMIM:607371,OMIM:243310,ORPHA:64755,ORPHA:2995,ORPHA:79107
70	ACTC1	OMIM:613424,OMIM:612794,OMIM:612098,ORPHA:154
71	ACTG1	OMIM:604717,ORPHA:2995,OMIM:614583
72	ACTG2	ORPHA:2604,OMIM:155310,ORPHA:2241
51412	ACTL6B	OMIM:618470,ORPHA:442835
87	ACTN1	OMIM:615193
88	ACTN2	ORPHA:154,OMIM:612158
81	ACTN4	OMIM:603278
90	ACVR1	ORPHA:337,OMIM:135100
93	ACVR2B	OMIM:613751
94	ACVRL1	ORPHA:774,OMIM:600376
95	ACY1	OMIM:609924,ORPHA:137754
100	ADA	OMIM:102700,ORPHA:277,ORPHA:39041
51816	ADA2	OMIM:615688,ORPHA:124,OMIM:182410,ORPHA:820
102	ADAM10	OMIM:615537
6868	ADAM17	OMIM:614328
53616	ADAM22	OMIM:617933
8754	ADAM9	ORPHA:1872,OMIM:612775
81794	ADAMTS10	ORPHA:3449,OMIM:277600
11093	ADAMTS13	OMIM:274150
170691	ADAMTS17	OMIM:613195
170692	ADAMTS18	OMIM:615458
9509	ADAMTS2	ORPHA:1901,OMIM:225410
